Epoch,CPU_Usage(%),Memory_Used(GB)
1,42.5,1.7544593811035156
2,66.2,1.7575035095214844
3,67.9,1.7602882385253906
4,62.5,1.7628517150878906
5,64.3,1.7630577087402344
6,64.8,1.763641357421875
7,67.4,1.764495849609375
8,65.0,1.7658271789550781
9,61.9,1.7661018371582031
10,62.5,1.7673416137695312
11,64.0,1.7691116333007812
12,69.0,1.7699813842773438
13,63.7,1.7702980041503906
14,71.5,1.771240234375
15,70.3,1.7717475891113281
