0,1,2,3,4,5,6,7,8,9
0.187892,0.1678429,-0.3429808,0.4000929,-0.20797722,0.0608972,-0.61931634,-0.06432823,-0.2226309,0.3148715
-0.44239995,-0.560052,-0.42844924,0.011576862,-0.13815615,0.3022722,0.10631321,0.42333934,-0.1255002,-0.16711153
-0.35999915,0.010279895,0.23185721,-0.26995018,0.09277437,-0.22922555,0.37844506,-0.39460105,-0.6114276,0.2034676
-0.49306193,-0.6182748,0.2719313,-0.061216045,0.50831085,-0.3281817,0.3416424,-0.16979575,-0.40364167,-0.58208305
-0.62132406,-0.034037136,-0.19776262,0.07842751,0.4747409,0.41342902,0.2686346,-0.30647627,-0.47634655,-0.59314245
0.16684839,-0.3057346,0.019902255,-0.20730942,0.21145758,0.22394797,-0.10531837,-0.4384967,0.39982644,0.27607143
0.44204956,-0.023370797,-0.2984839,0.052489195,0.41538554,-0.20506185,-0.06650162,-0.48142835,-0.2532161,-0.06150129
0.049690194,0.34962472,-0.41135934,-0.293719,-0.14990212,0.027280709,-0.12514448,0.24257077,-0.5717242,0.17898385
-0.31964794,-0.7183018,0.26450852,-0.054385535,-0.12000365,-0.048748013,0.19301105,0.18170388,-0.68822795,-0.4170538
0.4660393,-0.019350108,-0.35622135,-0.33820227,-0.41128033,-0.68930036,-0.031154057,-0.53437495,0.41933462,0.3767737
0.25073743,-0.08639393,0.49346492,0.14235038,0.15135007,-0.21309388,0.14625376,-0.38826934,-0.36299685,-0.44692597
-0.09622629,-0.09222524,-0.14042136,-0.04888449,0.5589831,-0.12250951,-0.4867762,0.580304,-0.24049461,-0.2028036
-0.5822539,-0.61861396,0.3097141,0.058501475,0.017165726,0.4203509,0.1473756,0.0008725275,-0.6333425,-0.020893171
-0.59886336,0.11054892,0.01797329,0.21673642,0.18861271,0.39538395,-0.053630337,0.23265624,-0.5289948,0.42628542
0.2110239,-0.22935489,0.081386805,0.2242041,0.017939646,0.28840777,0.060847368,-0.62531763,0.34291962,0.083775066
-0.011043649,0.44710627,-0.4217905,-0.35208732,-0.40474564,-0.52145123,0.3056692,-0.010972134,0.18463859,0.0849355
0.01571386,-0.4660098,-0.33700627,0.28961056,0.31237552,-0.2012695,0.07915123,-0.2355663,-0.37957603,-0.44035482
-0.29031256,0.4197567,-0.08445781,0.45920256,-0.29690847,0.23252223,-0.37811464,-0.022108598,-0.543109,0.34055394
