Epoch,CPU_Usage(%),Memory_Used(GB)
1,46.7,1.7597808837890625
2,67.1,1.7626457214355469
3,63.6,1.7642898559570312
4,65.2,1.7650718688964844
5,65.8,1.7658729553222656
6,63.5,1.7658538818359375
7,65.2,1.7674064636230469
8,65.6,1.767974853515625
9,68.5,1.7694969177246094
10,65.2,1.7703666687011719
11,63.8,1.7717132568359375
12,64.8,1.7726669311523438
13,67.6,1.7730064392089844
14,65.6,1.7730445861816406
15,68.2,1.7739143371582031
